Date,Gold Close
10/18/2016,1261.65
10/19/2016,1269.75
10/20/2016,1269.2
10/21/2016,1263.95
10/24/2016,1267
10/25/2016,1269.3
10/26/2016,1273.9
10/27/2016,1269.3
10/28/2016,1265.9
10/31/2016,1274.2
11/1/2016,1284.4
11/2/2016,1295.85
11/3/2016,1293
11/4/2016,1301.7
11/7/2016,1286.8
11/8/2016,1284
11/9/2016,1304.55
11/10/2016,1280.9
11/11/2016,1255.65
11/14/2016,1222.6
11/15/2016,1228.9
11/16/2016,1225.7
11/17/2016,1232
11/18/2016,1206.1
11/21/2016,1214.95
11/22/2016,1217.55
11/23/2016,1213.25
11/24/2016,1187.25
11/25/2016,1187.5
11/28/2016,1189.1
11/29/2016,1187.3
11/30/2016,1187.4
12/1/2016,1168.75
12/2/2016,1171.65
12/5/2016,1164.9
12/6/2016,1171.15
12/7/2016,1171.25
12/8/2016,1174.75
12/9/2016,1168.9
12/12/2016,1154.4
12/13/2016,1157.35
12/14/2016,1160.95
12/15/2016,1132.45
12/16/2016,1134.85
12/19/2016,1137.6
12/20/2016,1132.75
12/21/2016,1134.4
12/22/2016,1130.55
12/23/2016,1131
12/28/2016,1139.75
12/29/2016,1146.8
12/30/2016,1159.1
1/3/2017,1148.65
1/4/2017,1165.9
1/5/2017,1173.05
1/6/2017,1178
1/9/2017,1176.1
1/10/2017,1183.2
1/11/2017,1187.55
1/12/2017,1206.65
1/13/2017,1196.35
1/16/2017,1202.75
1/17/2017,1217.5
1/18/2017,1212.5
1/19/2017,1203.35
1/20/2017,1199.1
1/23/2017,1213.75
1/24/2017,1213.3
1/25/2017,1203.5
1/26/2017,1191.55
1/27/2017,1184.2
1/30/2017,1189.85
1/31/2017,1198.8
2/1/2017,1210
2/2/2017,1224.05
2/3/2017,1213.05
2/6/2017,1221.85
2/7/2017,1231
2/8/2017,1235.6
2/9/2017,1241.75
2/10/2017,1225.75
2/13/2017,1229.4
2/14/2017,1229.65
2/15/2017,1225.15
2/16/2017,1236.75
2/17/2017,1241.4
2/20/2017,1235.35
2/21/2017,1228.7
2/22/2017,1237.5
2/23/2017,1237.35
2/24/2017,1255.35
2/27/2017,1256.25
2/28/2017,1251.9
3/1/2017,1246.05
3/2/2017,1243.3
3/3/2017,1228.75
3/6/2017,1231.15
3/7/2017,1223.7
3/8/2017,1213.3
3/9/2017,1204.6
3/10/2017,1196.55
3/13/2017,1207.8
3/14/2017,1203.55
3/15/2017,1202.25
3/16/2017,1225.6
3/17/2017,1228.75
3/20/2017,1233
3/21/2017,1232.05
3/22/2017,1246.1
3/23/2017,1247.9
3/24/2017,1244
3/27/2017,1256.9
3/28/2017,1253.65
3/29/2017,1252.9
3/30/2017,1250.9
3/31/2017,1241.7
4/3/2017,1246.25
4/4/2017,1258.65
4/5/2017,1252.5
4/6/2017,1253.75
4/7/2017,1264.3
4/10/2017,1253.6
4/11/2017,1255.7
4/12/2017,1272.3
4/13/2017,1286.1
4/18/2017,1285
4/19/2017,1282.05
4/20/2017,1279.9
4/21/2017,1281.5
4/24/2017,1271.8
4/25/2017,1270.5
4/26/2017,1264.95
4/27/2017,1264.3
4/28/2017,1265.55
5/2/2017,1255.8
5/3/2017,1253.95
5/4/2017,1235.85
5/5/2017,1239.4
5/8/2017,1229.7
5/9/2017,1225.15
5/10/2017,1222.95
5/11/2017,1221
5/12/2017,1227.9
5/15/2017,1231.5
5/16/2017,1234.05
5/17/2017,1244.6
5/18/2017,1261.35
5/19/2017,1251.85
5/22/2017,1255.25
5/23/2017,1259.9
5/24/2017,1251.35
5/25/2017,1257.1
5/26/2017,1265
5/30/2017,1262.8
5/31/2017,1263.8
6/1/2017,1266.15
6/2/2017,1260.95
6/5/2017,1280.7
6/6/2017,1287.85
6/7/2017,1292.7
6/8/2017,1284.8
6/9/2017,1274.25
6/12/2017,1269.25
6/13/2017,1261.3
6/14/2017,1268.25
6/15/2017,1260.25
6/16/2017,1256.6
6/19/2017,1251.1
6/20/2017,1246.5
