Date,Open,High,Low,Close,Volume
4/8/2014,184.259995,185.399994,183.589996,185.100006,112660000
4/9/2014,185.600006,187.149994,185.059998,187.089996,100254000
4/10/2014,187.080002,187.169998,182.929993,183.160004,172959000
4/11/2014,182.139999,183.419998,181.309998,181.509995,167251000
4/14/2014,182.929993,183.369995,181.440002,182.940002,132382000
4/15/2014,183.320007,184.330002,181.509995,184.199997,157093000
4/16/2014,185.470001,186.139999,184.649994,186.130005,105197000
4/17/2014,185.880005,186.910004,185.559998,186.389999,105255000
4/21/2014,186.440002,187.100006,186.210007,187.039993,68329000
4/22/2014,187.229996,188.399994,187.130005,187.889999,85790000
4/23/2014,187.820007,187.919998,187.300003,187.449997,73869000
4/24/2014,188.369995,188.389999,186.929993,187.830002,88170000
4/25/2014,187.220001,187.330002,185.869995,186.289993,100380000
4/28/2014,187.050003,187.690002,184.960007,186.880005,135121000
4/29/2014,187.479996,188.039993,187.080002,187.75,84098000
4/30/2014,187.440002,188.5,187.179993,188.309998,101508000
5/1/2014,188.220001,188.839996,187.729996,188.330002,93019000
5/2/2014,188.309998,189.139999,187.779999,188.059998,98122000
5/5/2014,187.139999,188.550003,186.619995,188.419998,75883000
5/6/2014,188,188.130005,186.740005,186.779999,85454000
5/7/2014,187.410004,187.970001,186.009995,187.880005,106500000
5/8/2014,187.710007,189.050003,187.080002,187.679993,93618000
5/9/2014,187.710007,188.039993,186.830002,187.960007,83679000
5/12/2014,188.800003,189.880005,188,189.789993,86940000
5/13/2014,190.039993,190.419998,189.770004,189.960007,66454000
5/14/2014,189.789993,189.880005,188.789993,189.059998,72367000
5/15/2014,188.679993,188.720001,186.479996,187.399994,154956000
5/16/2014,187.509995,188.130005,186.720001,188.050003,97458000
5/19/2014,187.690002,188.889999,187.520004,188.740005,63839000
5/20/2014,188.649994,188.669998,187.070007,187.550003,111644000
5/21/2014,188.089996,189.220001,188.059998,189.130005,89093000
5/22/2014,189.179993,189.979996,188.860001,189.589996,61549000
5/23/2014,189.759995,190.479996,189.589996,190.350006,61092800
5/27/2014,191.059998,191.580002,190.949997,191.520004,72010000
5/28/2014,191.520004,191.820007,191.059998,191.380005,66723000
5/29/2014,191.820007,192.399994,191.330002,192.369995,64377000
5/30/2014,192.190002,192.800003,192.029999,192.679993,76316000
6/2/2014,192.949997,192.990005,191.970001,192.899994,64656000
6/3/2014,192.429993,192.899994,192.25,192.800003,65047000
6/4/2014,192.470001,193.300003,192.270004,193.190002,55529000
6/5/2014,193.410004,194.649994,192.699997,194.449997,92103000
6/6/2014,194.869995,195.429993,194.779999,195.380005,78696000
6/9/2014,195.350006,196.050003,195.169998,195.580002,65119000
